provider_id,hospital_name,address,city,state,zip_code,county_name,phone_number,hospital_type,hospital_ownership,emergency_services,meets_criteria_for_meaningful_use_of_ehrs,hospital_overall_rating,mortality_national_comparison,safety_of_care_national_comparison,readmission_national_comparison,patient_experience_national_comparison,effectiveness_of_care_national_comparison,timeliness_of_care_national_comparison,efficient_use_of_medical_imaging_national_comparison
120026,PALI MOMI MEDICAL CENTER,98-1079 MOANALUA ROAD,AIEA,HI,96701,HONOLULU,8084866000,Acute Care Hospitals,Proprietary,Yes,Y,4.0,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
320003,SAN MIGUEL CORP D/B/A ALTA VISTA REGIONAL HOSPITAL,104 LEGION DRIVE,LAS VEGAS,NM,87701,SAN MIGUEL,5054263930,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3.0,Same as the national average,,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
511310,SUMMERS COUNTY ARH HOSPITAL,115 SUMMERS HOSPITAL ROAD,HINTON,WV,25951,SUMMERS,3044661000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Same as the national average,,Same as the national average,,,,
180024,SPRING VIEW HOSPITAL,320 LORETTO ROAD,LEBANON,KY,40033,MARION,2706925145,Acute Care Hospitals,Proprietary,Yes,Y,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
210003,PRINCE GEORGES HOSPITAL CENTER,3001 HOSPITAL DRIVE,CHEVERLY,MD,20785,PRINCE GEORGES,3016182000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,,,,,,,
440185,TENNOVA HEALTHCARE-CLEVELAND,2305 CHAMBLISS AVE NW,CLEVELAND,TN,37311,BRADLEY,4233394132,Acute Care Hospitals,Proprietary,Yes,Y,2.0,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
360262,MERCY ST ANNE HOSPITAL,3404 SYLVANIA AVENUE,TOLEDO,OH,43623,LUCAS,4194072663,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,5.0,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
210027,WESTERN MARYLAND REGIONAL MEDICAL CENTER,12500 WILLOWBROOK ROAD,CUMBERLAND,MD,21502,ALLEGANY,2409648001,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,,,,,,,
443303,EAST TENNESSEE CHILDRENS HOSPITAL,2018 CLINCH AVE SW,KNOXVILLE,TN,37916,KNOX,8655418000,Childrens,Voluntary non-profit - Private,Yes,Y,,,,,,,,
291314,SOUTH LYON MEDICAL CENTER,213 S WHITACRE/PO BOX 940,YERINGTON,NV,89447,LYON,7757813761,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,,,,,,,,
50127,WOODLAND MEMORIAL HOSPITAL,1325 COTTONWOOD STREET,WOODLAND,CA,95695,YOLO,5306623961,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3.0,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
